,Unnamed: 0,GEOID,POP10,HU10,ALAND,INTPTLAT,INTPTLONG                                                                                                                  ,coor,FIPS,FIPSS,ln,liquordense,popdense,housedense
41,41,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.808125799999999, -122.41790132)",60750101001005,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
42,42,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.80607575, -122.416412256806)",60750101001022,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
43,43,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.804049, -122.4144769)",60750101002017,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
44,44,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.808602549204, -122.415962450823)",60750101001001,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
45,45,6075010200,4143,2969,515572,37.8058607,-122.4229252,"(37.8052354693878, -122.423402897959)",60750102003003,6075010200,4,7.7583732243e-06,0.00803573506707,0.00575865252574
46,46,6075010200,4143,2969,515572,37.8058607,-122.4229252,"(37.805359, -122.4221819)",60750102003003,6075010200,4,7.7583732243e-06,0.00803573506707,0.00575865252574
47,47,6075010200,4143,2969,515572,37.8058607,-122.4229252,"(37.806282224499995, -122.420588735)",60750102001010,6075010200,4,7.7583732243e-06,0.00803573506707,0.00575865252574
48,48,6075010200,4143,2969,515572,37.8058607,-122.4229252,"(37.805970632700003, -122.42052498)",60750102001010,6075010200,4,7.7583732243e-06,0.00803573506707,0.00575865252574
49,49,6075010300,3852,2341,268266,37.8016201,-122.4156811,"(37.801980100000002, -122.41298140000001)",60750103001010,6075010300,1,3.72764345836e-06,0.0143588826016,0.00872641333602
50,50,6075010400,4545,2884,335738,37.8022725,-122.4075581,"(37.8014859, -122.4095532)",60750104002004,6075010400,1,2.97851300717e-06,0.0135373416176,0.00859003151267
51,51,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.797874324200002, -122.40101280799999)",60750105001024,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
52,52,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.7937635, -122.3925412)",60750105002021,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
53,53,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.795317894699998, -122.400283105)",60750105002013,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
54,54,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.7995051, -122.4006177)",60750105001022,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
55,55,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.799444000000001, -122.39552561399999)",60750105002001,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
56,56,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.803322999999999, -122.4008709)",60750105001001,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
57,57,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.796912200000001, -122.4005283)",60750105001026,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
58,58,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.803284896599997, -122.40230117200001)",60750105001008,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
59,59,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.801238979699995, -122.40027243200001)",60750105001013,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
60,60,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.800654399999999, -122.40157260000001)",60750105001015,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
61,61,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.798280100000007, -122.39634401299999)",60750105002001,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
62,62,6075010500,2685,1985,683666,37.8026841,-122.3990586,"(37.794787999999997, -122.396523)",60750105002016,6075010500,18,2.63286458592e-05,0.00392735634067,0.00290346455725
