,GEOID,INTPTLAT,INTPTLONG                                                                                                                  ,liquordense,popdense,housedense,liquordensereal,popdensereal,housedensereal
40,6075015300,37.7867618,-122.4393346,7.7015561422e-05,0.0087284302945,0.00449685305859,0.0714301619355,-0.054606994911,-0.0532450563242
41,6075015400,37.7843608,-122.4510358,9.72416705563e-06,0.00780850614567,0.00428974683826,-0.0926988465492,-0.0693692851421,-0.0587426412148
42,6075015500,37.7850923,-122.434135,8.95644608219e-05,0.0115858027535,0.00780810174523,0.102037915504,-0.00875390844554,0.034651245003
43,6075015600,37.7782427,-122.4564254,2.72579831818e-05,0.009294972265,0.00477014705682,-0.0499324886391,-0.0455155312211,-0.0459905327614
44,6075015700,37.7789154,-122.4480069,4.78154324308e-06,0.00936226166995,0.00329209252286,-0.104754295144,-0.0444357185793,-0.0852251354716
45,6075015801,37.7813029,-122.4373557,2.91001364796e-06,0.0104585890508,0.00513326407501,-0.109319103166,-0.026842634405,-0.0363516787012
46,6075015802,37.778079,-122.4385023,4.68510254518e-05,0.0173641613081,0.00925893390492,-0.00214351604827,0.083973091004,0.0731632363245
47,6075015900,37.78334,-122.4293428,1.01561336276e-05,0.0147263937601,0.00816891681449,-0.0916452460729,0.0416440683827,0.0442289943816
48,6075016000,37.7823363,-122.4224838,6.31967441037e-06,0.0155779974216,0.011672438636,-0.101002672135,0.0553099998934,0.137229139907
49,6075016200,37.777158,-122.4228856,0.000142911061683,0.00931120532655,0.00638336075516,0.232154474803,-0.0452550345636,-0.00316816248569
50,6075016300,37.7760456,-122.4295509,2.84706772361e-05,0.0174606596249,0.00888691853726,-0.0469746323694,0.0855216275449,0.0632881777141
51,6075016400,37.7750995,-122.4369729,7.11750680207e-05,0.0122227003174,0.00631193444129,0.0571847387273,0.00146657190353,-0.00506415683729
52,6075016500,37.7741958,-122.4477884,1.8895478312e-05,0.0137208166086,0.00670249609269,-0.0703292963684,0.0255072795191,0.00530320842187
53,6075016600,37.7704942,-122.4474539,8.1592689295e-05,0.014771190787,0.00777461767997,0.0825941371596,0.0423629392955,0.0337624185305
54,6075016700,37.7703481,-122.4377358,2.85310774761e-05,0.0094804694585,0.00498886269011,-0.0468273114289,-0.0425388038344,-0.0401847787913
55,6075016801,37.7713294,-122.4290086,0.000110206438701,0.0141857727896,0.0076439185883,0.152385324625,0.0329685665148,0.0302930425241
56,6075016802,37.7735403,-122.4249293,6.02996428406e-05,0.015139848787,0.00881302472285,0.0306587205274,0.0482789013875,0.0613266841531
57,6075016900,37.7670961,-122.4324782,6.11845325502e-05,0.00993908739871,0.00586011856203,0.0328170361935,-0.0351792284312,-0.0170575008673
58,6075017000,37.7648874,-122.4394975,2.129807508e-06,0.007856859897,0.00496671110865,-0.111222087364,-0.0685933384384,-0.0407727872024
59,6075017101,37.7657245,-122.4460837,3.19099373927e-06,0.011308881812,0.00605650611713,-0.108633770603,-0.0131977392925,-0.0118444403715
60,6075017102,37.7654353,-122.4504754,4.74746858193e-05,0.0117025100545,0.0061208434217,-0.000622359313256,-0.00688107246049,-0.0101366220697
