LICENSE NUMBER,STATUS,LICENSE TYPE, ORIG. ISS. DATE, EXPIR DATE, PRIMARY OWNER, PREMISES ADDR, PREMISES CSZ,BUSNESS NAME, MAILING ADDRESS, MAILING CSZ, CENSUS TRACT, GEO CODE
458049,ACTIVE,47,12/12/07,11/30/17,METROPOLITAN LOUNGE INC,3600 16TH ST,"SAN FRANCISCO, CA  94114-1588",LOOKOUT,,,169,3800
479277,ACTIVE,41,2/2/10,2/28/17,VAL 22 RI LLC,3583 16TH ST,"SAN FRANCISCO, CA  94114-1620",STARBELLY,1829 UNION ST,"SAN FRANCISCO, CA  94123-4307",203,3800
527952,ACTIVE,41,3/6/13,2/28/17,CAFE VERANDA ENTERPRISES INC,3499 16TH ST,"SAN FRANCISCO, CA  94114-1731",KITCHEN STORY,,,203,3800
572184,ACTIVE,41,10/28/16,9/30/17,SOFIA CAF_ LLC,3463 16TH ST,"SAN FRANCISCO, CA  94114-1732",SOFIA CAFE,,,203,3800
382353,ACTIVE,41,11/29/01,1/31/17,SQUAT AND GOBBLE CAFE LLC,"3600 16TH ST, STE 1 & 2","SAN FRANCISCO, CA  94114",SQUAT & GOBBLE CAFE LLC,782 ULLOA ST,"SAN FRANCISCO, CA  94127",169,3800
531591,ACTIVE,41,8/30/13,7/31/17,SMASHBURGER ACQUISITION-SAN FRANCISCO LLC,"2300 16TH ST, UNIT 293","SAN FRANCISCO, CA  94103-3150",SMASH BURGER,"3900 E MEXICO AVE, STE 1350","DENVER, CO  80210",177,3800
464294,ACTIVE,41,3/26/08,6/30/17,"LIVE SUSHI BAR, INC.",2001 17TH ST,"SAN FRANCISCO, CA  94103-5012",LIVE SUSHI BAR,,,227.04,3800
379692,ACTIVE,47,11/19/01,10/31/17,"BENETTI, TIMOTHY CHARLES",1233 17TH ST,"SAN FRANCISCO, CA  94107",BOTTOM OF THE HILL,,,227.02,3800
450773,ACTIVE,47,4/11/07,3/31/17,JACK OF HEARTS LLC,1600-02 17TH ST,"SAN FRANCISCO, CA  94107-2332",THEE PARKSIDE,,,607,3800
513921,ACTIVE,47,3/12/12,2/28/17,MISSION BOWLING CLUB LLC,3176 17TH ST,"SAN FRANCISCO, CA  94110-1331",MISSION BOWLING CLUB,,,177,3800
560621,ACTIVE,41,9/7/16,8/31/17,"JERARTDON, LLC",3412 17TH ST,"SAN FRANCISCO, CA  94110-1113",,279 10TH AVE,"SAN FRANCISCO, CA  94119-2212",202,3800
446189,ACTIVE,41,8/30/07,7/31/17,"HADDAD, JOEL JAMIL",3698 17TH ST,"SAN FRANCISCO, CA  94114-2625",MORNING DUE,,,203,3800
481129,ACTIVE,41,11/9/09,10/31/17,DEMETER RESTAURANT GROUP LLC,3870 17TH ST,"SAN FRANCISCO, CA  94114-2030",FRANCES,,,203,3800
544417,ACTIVE,41,10/17/14,9/30/17,"HEARTH COFFEE ROASTERS, INC.",3985 17TH ST,"SAN FRANCISCO, CA  94114-2029",HEARTH COFFEE ROASTERS,"884 41ST AVE, #2","SAN FRANCISCO, CA  94121",206,3800
570048,ACTIVE,41,9/19/16,8/31/17,ROBIN'S CAF_ LLC,3153 17TH STREET,"SAN FRANCISCO, CA  94110-1332",ROBINS CAFE LLC,,,228.01,3800
272361,ACTIVE,41,6/29/92,1/31/17,APERTO INC,1434 18TH ST,"SAN FRANCISCO, CA  94107",APERTO RESTAURANT,,,227.02,3800
